TE,Season,Date,AMF,BUT,BMP,SMP,WMP
93,2013,4/06/2013,4477.578558,3742.728927,4410,4163.955069,4643.05298
94,2013,18/06/2013,4589.195076,3925,4315,4283.819936,4668.405513
95,2013,2/07/2013,4644.874016,3707.466598,4609.797297,4440.959945,4756.797951
96,2013,16/07/2013,4741.634483,3693.412427,4825.789474,4565.812896,5057.946429
97,2013,6/08/2013,4612.110404,3499.31182,4641.069959,4451.024691,5021.470897
98,2013,20/08/2013,4931.426686,3614.057361,4688.75,4425.962794,5123.581768
99,2013,3/09/2013,5109.207364,3709.666085,4566.203091,4420.437641,5058.007291
100,2013,17/09/2013,4939.960956,3910.550258,4805,4329.76007,5095.923115
101,2013,1/10/2013,5061.633216,3915.14441,4695.229885,4491.118494,5208.213224
102,2013,15/10/2013,5007.155284,3779.951577,4680.468278,4540.862542,5058.156937
103,2013,5/11/2013,5343.272148,3528.737617,4523.503254,4559.336807,4891.049507
104,2013,19/11/2013,5255.350365,3582.852229,4753.333333,4582.537555,4869.755002
105,2013,3/12/2013,5395.37928,3750.249373,4630.333333,4790.811534,5035.286356
106,2013,17/12/2013,5667.966867,4050.895594,5070,4868.153566,4958.137271
107,2013,7/01/2014,5538.25596,4222.68866,4538.945409,4687.515688,4934.431126
108,2013,21/01/2014,5640.878748,4657.115677,5244.433498,4698.247006,4942.612713
109,2013,4/02/2014,5569.335303,4745.035444,4774.924433,4746.018082,5004.520651
110,2013,18/02/2014,5313.762933,4585.899827,5355,4779.874397,4998.992541
111,2013,4/03/2014,5126.368341,4745.895815,4791.647564,4658.126687,4702.755227
112,2013,18/03/2014,4578.416774,4534.18768,5253.333333,4583.905961,4439.25317
113,2013,1/04/2014,4061.806697,4040.012263,4210.882353,4126.479793,4032.550629
114,2013,15/04/2014,4085.826377,3832.397695,4075,3969.251152,3990.287606
115,2013,6/05/2014,4170.033359,3891.625954,3713.195991,3873.008678,3928.391796
116,2013,20/05/2014,4255.012896,3666.500822,3950,3732.983696,3876.979098
117,2014,3/06/2014,4057.685441,3634.262056,3628.333333,3863.289881,3594.286684
118,2014,17/06/2014,3898.218482,3699.25979,4535,3854.917006,3658.27517
119,2014,1/07/2014,3605.57629,3180.580862,4134.61165,3810.3447,3459.029955
120,2014,15/07/2014,3249.631832,3144.012784,4425.509915,3515.763723,3088.420718
121,2014,5/08/2014,3456.687352,2800.450777,3852.142857,3263.700066,2724.898332
122,2014,19/08/2014,3566.236433,2939.752511,3885.984655,2873.596894,2804.261625
123,2014,2/09/2014,3360.354048,2753.458837,3173.809524,2599.716949,2672.538209
124,2014,16/09/2014,3264.301938,2697.535875,3140.179949,2619.058734,2691.954502
125,2014,1/10/2014,3117.136262,2513.68669,2722.89749,2540.209734,2443.30024
126,2014,15/10/2014,3345.512346,2613.798752,2685.075075,2462.320652,2503.150245
127,2014,4/11/2014,3292.488809,2505.295567,2426.410835,2456.503098,2521.879658
